CountyId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
6001,Alameda County,1629615,799649,829966,22.5,32.2,10.7,0.3,28.7,0.8,1056116,85743,940,335,11.3,13.0,48.0,16.0,20.4,6.4,9.2,62.0,10.1,14.6,3.7,3.6,6.0,32.5,826310,79.3,13.2,7.3,0.1,6.0
6003,Alpine County,1203,664,539,9.7,64.6,1.5,20.6,0.7,0.0,936,63438,4535,6258,19.8,17.3,38.2,21.9,18.7,12.8,8.3,62.1,13.2,0.0,9.1,1.6,14.0,21.9,374,58.6,30.2,11.2,0.0,14.6
6005,Amador County,37306,20005,17301,13.2,79.3,2.0,0.7,1.5,0.2,30677,60636,2765,1631,10.6,20.3,32.7,23.2,24.1,9.9,10.1,80.7,9.2,0.1,2.5,1.1,6.4,32.0,13444,63.9,21.0,14.7,0.4,9.3
6007,Butte County,225207,111587,113620,15.7,72.9,1.5,0.7,4.4,0.2,172105,46516,1130,656,20.5,21.5,35.9,22.2,22.7,9.2,10.1,75.0,11.1,1.2,3.2,3.9,5.7,20.1,93439,72.8,17.2,9.7,0.4,9.1
6009,Calaveras County,45057,22292,22765,11.5,82.0,0.6,0.9,1.2,0.5,35783,54800,3529,1278,12.8,18.9,35.6,18.4,22.9,11.6,11.5,79.1,9.9,1.0,1.2,0.6,8.3,35.5,16721,67.6,18.2,13.7,0.4,7.1
6011,Colusa County,21479,11157,10322,58.4,36.3,0.9,1.1,1.5,0.1,12364,56481,4858,2010,14.0,20.7,24.2,19.2,16.6,26.2,13.8,76.9,14.2,0.3,2.5,1.6,4.5,24.7,9470,76.6,13.4,9.7,0.2,5.9
6013,Contra Costa County,1123678,548675,575003,25.3,44.9,8.3,0.2,15.8,0.5,743847,88456,822,416,9.8,12.4,43.0,18.0,23.1,7.9,7.9,68.1,11.7,10.3,1.7,1.9,6.3,37.1,535401,78.0,13.4,8.4,0.2,6.9
6015,Del Norte County,27442,15008,12434,19.2,62.8,1.8,7.2,2.7,0.1,20803,41287,4114,1306,23.2,31.2,32.5,31.7,19.9,8.6,7.3,73.7,14.5,0.6,3.6,1.9,5.6,14.4,8742,56.8,32.9,9.8,0.4,9.5
6017,El Dorado County,185015,92304,92711,12.6,78.5,0.9,0.6,4.2,0.2,139367,74885,2565,917,9.8,11.6,41.4,19.0,24.2,8.2,7.0,77.8,8.5,1.8,2.0,1.6,8.3,29.1,80373,72.0,16.8,11.1,0.2,8.1
6019,Fresno County,971616,484667,486949,52.4,30.2,4.7,0.4,9.9,0.1,575985,48730,655,215,25.4,36.5,29.1,19.6,23.0,14.8,13.5,78.1,12.2,1.2,1.6,2.5,4.3,22.4,392003,74.8,18.4,6.6,0.2,10.4
6021,Glenn County,27935,14213,13722,40.8,52.5,0.8,1.7,2.6,0.3,16753,46260,3402,967,19.6,25.5,22.6,19.7,17.8,23.9,16.0,75.9,12.4,0.4,3.9,1.6,5.7,24.0,10775,70.9,17.3,10.9,0.9,9.2
6023,Humboldt County,135490,67508,67982,11.1,74.9,1.0,4.6,2.9,0.3,105236,43718,1579,780,20.8,22.5,33.9,23.1,23.6,10.3,9.1,72.0,9.1,1.9,6.7,2.8,7.4,18.2,59592,63.6,21.5,14.5,0.4,8.9
6025,Imperial County,179957,91963,87994,83.4,11.3,2.3,0.6,1.3,0.1,100556,44779,1850,582,23.8,31.0,24.4,24.3,24.7,13.4,13.1,81.4,8.8,0.8,1.9,2.6,4.4,20.8,59757,67.9,26.2,5.7,0.2,16.0
6027,Inyo County,18195,9172,9023,21.4,63.5,0.9,10.8,1.5,0.2,13620,51500,4578,1140,10.2,13.3,31.5,23.0,22.4,14.5,8.7,69.4,12.5,1.3,7.2,5.2,4.5,16.9,8275,61.5,30.1,8.4,0.0,5.2
6029,Kern County,878744,450393,428351,52.2,35.4,5.1,0.5,4.5,0.1,512066,50826,771,280,22.6,31.3,26.4,18.4,20.6,21.2,13.4,79.2,12.8,0.9,1.2,2.7,3.2,23.4,335688,76.7,16.6,6.5,0.2,10.9
6031,Kings County,150183,82982,67201,53.7,33.1,5.9,0.8,3.6,0.2,92011,49742,1744,656,20.9,28.7,24.4,21.4,20.8,19.5,13.8,75.6,14.4,0.9,2.2,2.0,5.0,22.4,53158,70.2,24.5,5.2,0.2,9.7
6033,Lake County,64095,31788,32307,19.4,71.7,2.1,3.2,1.4,0.0,48145,40446,2857,1183,22.8,31.6,25.8,26.5,21.4,16.1,10.1,71.3,11.5,1.0,3.0,0.6,12.5,28.9,22691,68.3,20.0,11.4,0.3,11.2
6035,Lassen County,31470,20786,10684,18.5,66.1,8.6,2.9,1.5,0.7,25121,54083,2927,1015,14.6,20.7,28.4,28.8,21.0,10.9,11.0,80.1,9.8,0.7,2.8,0.9,5.8,20.9,9052,43.6,47.7,8.2,0.4,7.5
6037,Los Angeles County,10105722,4979641,5126081,48.4,26.5,7.9,0.2,14.3,0.2,6218279,61015,262,129,17.0,24.0,36.4,19.0,24.1,7.6,12.8,73.7,9.6,6.3,2.7,2.3,5.3,30.9,4805817,79.3,11.2,9.3,0.2,7.8
6039,Madera County,154440,74583,79857,56.9,35.1,3.1,1.1,2.0,0.1,90030,48210,2108,565,22.1,31.5,23.9,17.3,22.0,23.0,13.8,76.4,15.5,0.5,2.0,2.0,3.6,25.6,56076,78.4,14.6,6.9,0.1,8.3
6041,Marin County,260814,127423,133391,15.9,71.5,2.1,0.1,5.7,0.1,184739,104703,1763,1603,8.1,9.7,53.8,14.4,21.4,5.7,4.6,65.3,8.1,9.8,3.7,2.4,10.7,31.7,130570,74.1,10.6,15.0,0.2,4.5
