CensusId,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
26135,Oscoda,8444,4346,4098,1.3,96.0,0.4,0.7,0.1,0.1,6775,33021.0,2322.0,19.8,30.1,22.3,22.2,24.2,11.2,20.1,77.3,8.4,0.1,2.9,4.4,6.9,19.5,2792,73.2,16.0,10.2,0.6,13.2
26137,Otsego,24141,11911,12230,1.5,95.0,0.4,0.8,0.6,0.0,18551,48917.0,2933.0,13.8,20.7,29.0,18.3,27.7,10.7,14.4,83.3,10.7,0.4,2.1,0.7,2.8,19.9,10733,82.2,12.2,5.3,0.3,8.2
26139,Ottawa,273136,134515,138621,9.2,84.7,1.4,0.3,2.8,0.0,197138,58989.0,1424.0,10.4,11.7,34.1,15.4,22.5,8.0,19.9,83.5,8.6,0.8,2.4,1.3,3.3,20.2,135496,85.8,9.1,4.9,0.1,6.1
26141,Presque Isle,13037,6502,6535,1.1,96.4,0.5,0.4,0.3,0.0,10816,41213.0,1240.0,13.7,21.0,27.6,18.7,21.7,14.4,17.6,79.5,11.7,0.0,2.7,1.6,4.5,24.8,4490,76.8,15.8,6.9,0.5,13.1
26143,Roscommon,24068,11989,12079,1.4,95.6,0.2,1.1,0.3,0.0,20159,35133.0,1471.0,20.6,33.4,24.7,18.3,28.5,12.9,15.5,80.5,10.7,1.1,2.5,1.4,3.8,22.4,7563,79.5,13.9,6.0,0.6,14.2
26145,Saginaw,196479,95216,101263,8.1,70.0,18.1,0.2,1.2,0.0,150498,43042.0,795.0,18.3,26.8,30.4,21.3,25.5,7.7,15.2,83.8,8.8,0.6,2.3,1.0,3.5,21.6,81106,84.3,11.1,4.4,0.2,11.1
26147,St. Clair,160429,79585,80844,3.1,91.7,2.2,0.1,0.6,0.0,122751,49730.0,1147.0,14.6,20.5,27.2,19.6,23.1,10.5,19.7,82.6,11.3,0.6,1.6,1.1,2.8,28.5,69940,83.5,11.2,5.1,0.1,10.4
26149,St. Joseph,61022,30279,30743,7.2,87.2,2.8,0.3,0.6,0.0,44455,44449.0,1194.0,17.2,26.7,24.6,14.4,19.3,9.6,32.1,79.2,12.9,0.2,3.2,1.5,3.1,21.8,26332,85.3,9.1,5.4,0.2,8.6
26151,Sanilac,42014,20843,21171,3.6,94.2,0.5,0.2,0.3,0.0,32312,41100.0,1020.0,15.7,23.3,25.8,16.0,23.1,13.0,22.1,78.2,9.1,0.9,3.6,1.0,7.2,27.5,17147,79.8,10.3,9.2,0.8,10.7
26153,Schoolcraft,8288,4102,4186,0.9,86.3,0.5,5.9,1.5,0.0,6687,34118.0,2977.0,21.4,34.7,25.8,25.2,22.1,14.0,12.9,77.4,10.5,1.1,5.5,0.8,4.7,17.8,2803,76.7,18.1,5.1,0.1,15.6
26155,Shiawassee,69113,34144,34969,2.7,94.5,0.5,0.4,0.4,0.0,53240,48233.0,936.0,14.4,21.4,28.2,17.3,23.8,11.4,19.3,82.2,9.7,0.4,2.6,1.1,4.0,28.1,29702,80.4,12.4,7.0,0.2,10.3
26157,Tuscola,54420,27243,27177,3.2,93.8,1.1,0.3,0.3,0.0,42265,43768.0,1014.0,15.7,25.7,26.1,20.8,21.2,11.9,20.1,81.6,11.8,0.0,2.1,0.9,3.6,29.9,23074,81.1,12.0,6.6,0.2,9.3
26159,Van Buren,75351,37287,38064,10.9,81.9,3.5,0.6,0.6,0.0,55168,46008.0,1763.0,18.8,27.5,29.1,19.7,21.1,12.7,17.5,83.3,7.9,0.3,3.5,1.2,3.9,24.8,32252,80.6,12.4,6.8,0.2,8.4
26161,Washtenaw,354092,174855,179237,4.4,71.0,11.9,0.2,8.4,0.0,261626,61003.0,901.0,15.4,14.8,51.3,16.2,20.0,4.4,8.1,72.6,7.7,5.4,6.2,2.5,5.6,23.4,176383,76.4,18.6,4.7,0.2,7.4
26163,Wayne,1778969,855112,923857,5.5,49.8,39.2,0.3,2.9,0.0,1287373,41210.0,304.0,25.0,36.9,31.3,20.5,24.4,6.9,16.8,81.0,9.7,3.2,1.8,1.5,2.8,25.1,696900,86.1,10.0,3.8,0.1,14.9
26165,Wexford,32751,16421,16330,1.8,95.0,0.6,0.6,0.6,0.0,24890,41534.0,1416.0,17.4,26.7,26.5,17.5,21.6,9.1,25.3,81.7,9.9,0.2,2.8,1.3,4.1,20.7,13441,81.9,11.0,6.9,0.2,9.5
